acid | 酸
apparatus | 仪器，装置
aqueous solution | 水溶液
arrangement of electrons | 电子排列
assumption | 假设
atom | 原子（化学变化中的最小粒子）
atomic mass | 原子量
atomic number | 原子序数
atomic radius | 原子半径
atomic structure | 原子结构
be composed of | 由……组成
bombardment | 撞击
boundary | 界限
cathode rays | 阴极射线
cathode-ray oscilloscope (C.R.O) | 阴极电子示波器
ceramic | 陶器制品
charge-clouds | 电子云
charge-to-mass ratio(e/m) | 质荷比（质谱分析时样品质量的测量以质量与其离子电荷之比表示）
chemical behaviour | 化学行为
chemical property | 化学性质（物质在化学变化中表现出来的性质）
clockwise | 顺时针方向的
compound | 化合物（由不同元素组成的纯净物）
configuration | 构型
copper | 铜
correspond to | 相似
corrosive | 腐蚀
d-block elements d | 区元素
deflect | 使偏向，使转向
derive from | 源于
deuterium | 氘
diffuse mixture | 扩散混合物
distance effect | 距离效应
distil | 蒸馏
distinguish | 区别
distribution | 分布
doubly charged(2+) ion | 正二价离子
dye | 染料
effect of electric current in solutions | 电流在溶液里的影响
electrical charge | 电荷
electrical field | 电场
electrically neutral atom | 电中性原子
electricity | 电
electrolysis | 电解
electron | 电子（负电荷粒子，电量等于 4.77×10-10 绝对静电单位）
electron shielding | 电子屏蔽
element | 元素（具有相同核电荷数即荷内质子数的一类原子的总称）
emission spectrum | 发射光谱（根据发射光源和激发能量方式所产生的特征电磁波谱）
energy level | 能态，能级（稳态能量，有相同主量数的电子壳层）
fertiliser | 肥料
first ionisation energy | 一级电离能
fluorescent screen | 荧光屏
fluoride | 氟化物
fuel | 燃料
fundamental substance | 基础物质
fuzzy | 模糊的
galaxy | 星系，银河
gas | 气体
gaseous state | 气态
gravity | 重力
GroupⅠ | 第一族
Heisenberg’s uncertainty principle | 海森堡测不准原理
hydrofluoric acid | 氢氟酸
identical | 同一的，相等的
in terms of | 根据，在……方面
innermost | 最内的，最深的
interaction | 相互作用
internal structure | 内部结构
interpret | 解释
investigate | 研究,调查
ionisation energy | 电离能（从原子或分子中移走一个电子至无穷远处所需的能量，以电子伏特 eV 表示）
ionise | 电离
isotope | 同位素（原子里具有相同的质子数和不同的中子数的同一元素的原子互称同位素）
J.J. Thomson’s e/m experiment | 汤姆森质何比实验
Latin | 拉丁
lepton | 轻粒子
liquid | 液体
magnet | 磁铁
magnetic field | 磁场
Maltese Cross | 马耳他十字
marble | 大理石
mass number | 质量数
matter | 物质
metal foil | 金箔
meteorite | 陨星
microbe | 微生物，细菌
Millikan’s ‘oil-drop’ ecperiment | 密立根油滴实验
model-building | 模型建筑
mole | 摩尔（表示一个系统的物质的量的单位，该系统中所包含的基本单元数与 12g 碳 12，即 12C 的原子数目相等,每摩尔物质含有阿佛加德罗常数个微粒）
molecule | 分子（保持物质的化学性质的最小粒子）
narrow beam | 狭窄的光线
