青，取之于蓝，	1．青，取之于蓝，而青于蓝；冰，水为之，而寒于水。（《荀子"劝学》）
故木受绳则直，	2．故木受绳则直，金就砺则利，君子博学而日参省乎己，则知明而行无过矣。（《荀子"劝学》）
故不登高山，	3．故不登高山，不知天之高也；不临深谿，不知地之厚也；不闻先王之遗言，不知学问之大也。（《荀子"劝学》）
吾妻之美我者，	4．吾妻之美我者，私我也；妾之美我者，畏我也；客之美我者，欲有求于我也。（《战国策"邹忌讽齐王纳谏》）
今齐地方千里，	5．今齐地方千里，百二十城，宫妇左右莫不私王，朝廷之臣莫不畏王，四境之内莫不有求于王。由此观之，王之蔽甚矣！（《战国策"邹忌讽齐王纳谏》）
群臣吏民，	6．群臣吏民，能面刺寡人之过者，受上赏；上书谏寡人者，受中赏；能谤讥于市朝，闻寡人之耳者，受下赏。（《战国策"邹忌讽齐王纳谏》）
屈平疾王听之不聪也，	7．屈平疾王听之不聪也，谗谄之蔽明也，邪曲之害公也，方正之不容也，故忧愁幽思而作《离骚》。（司马迁《史记"屈原列传》）
屈平正道直行，	8．屈平正道直行，竭忠尽智，以事其君，谗人间之，可谓穷矣。信而见疑，忠而被谤，能无怨乎？屈平之作《离骚》，盖自怨生也。（司马迁《史记"屈原列传》）
明道德之广崇，	9．明道德之广崇，治乱之条贯，靡不毕见。（司马迁《史记"屈原列传》）
其文约，	10．其文约，其辞微，其志洁，其行廉。其称文小而其指极大，举类迩而见义远。其志洁，故其称物芳；其行廉，故死而不容。（司马迁《史记"屈原列传》）
外无期功强近之亲，	11．外无期功强近之亲，内无应门五尺之僮，茕茕孑立，形影相吊。（李密《陈情表》）
但以刘日薄西山，	12．但以刘日薄西山，气息奄奄，人命危浅，朝不虑夕。臣无祖母，无以至今日；祖母无臣，无以终余年。母、孙二人，更相为命，是以区区不能废远。（李密《陈情表》）
臣生当陨首，	13．臣生当陨首，死当结草。臣不胜犬马怖惧之情，谨拜表以闻。（李密《陈情表》）
时维九月，	14．时维九月，序属三秋。潦水尽而寒潭清，烟光凝而暮山紫。（王勃《滕王阁序》）
层峦耸翠，	15．层峦耸翠，上出重霄；飞阁流丹，下临无地。（王勃《滕王阁序》）
