◇原文：每天都被自己帅到睡不着	翻译：玉树临风美少年，揽镜自顾夜不眠。
◇原文：有钱，任性。	翻译：家有千金，行止由心。
◇原文：丑的人都睡了，帅的人还醒着。	翻译：玉树立风前，驴骡正酣眠。
◇原文：主要看气质。	翻译：请君莫羡解语花，腹有诗书气自华。
◇原文：也是醉了。	翻译：行迈靡靡，中心如醉。
◇原文：人要是没有理想，和咸鱼有什么区别。	翻译：涸辙遗鲋，旦暮成枯；人而无志，与彼何殊。
◇原文：别睡了起来嗨。	翻译：昼短苦夜长，何不秉烛游。
◇原文：不要在意这些细节。	翻译：欲图大事，莫拘小节。
◇原文：你这么牛，家里人知道么。	翻译：腰中雄剑长三尺，君家严慈知不知。
◇原文：心好累。	翻译：形若槁骸，心如死灰。
◇原文：我的内心几乎是崩溃的。	翻译：方寸淆乱，灵台崩摧。
◇原文：你们城里人真会玩。	翻译：城中戏一场，山民笑断肠。
◇原文：我单方面宣布和xx结婚。	翻译：愿出一家之言，以结两姓之好。
◇原文：重要的事说三遍。	翻译：一言难尽意，三令作五申。
◇原文：世界那么大，我想去看看。	翻译：天高地阔，欲往观之。
◇原文：明明可以靠脸吃饭，偏偏要靠才华。	翻译：中华儿女多奇志，不爱红装爱才智。
◇原文：我读书少，你不要骗我。	翻译：君莫欺我不识字，人间安得有此事。
◇原文：不作死就不会死，为什么不明白。	翻译：幸无白刃驱向前，何用将身自弃捐。
◇原文：你不是一个人在战斗。	翻译：岂曰无衣，与子同袍。
◇原文：我有知识我自豪。	翻译：腹有诗书气自华。
◇原文：说的好有道理，我竟无言以对。	翻译：斯言甚善，余不得赞一词。
◇原文：秀恩爱，死的快。	翻译：爱而不藏，自取其亡。
◇原文：吓死宝宝了。	翻译：堪惊小儿啼，能开长者颐。
◇原文：沉默不都是金子，有时候还是孙子。	翻译：圣人不言如桃李，小民不言若木鸡。
◇原文：备胎。	翻译：章台之柳，已折他人；玄都之花，未改前度。
◇原文：屌丝终有逆袭日	翻译：王侯将相，宁有种乎？
◇原文：长发及腰，娶我可好？	翻译：长鬟已成妆，与君结鸳鸯？
◇原文：人与人之间最基本的信任呢？	翻译：长恨人心不如水，等闲平地起波澜。
◇原文：认真你就输了	翻译：石火光中争何事，蜗牛角上莫认真。
◇原文：那画面太美我不敢看。	翻译：尽美尽善，不忍卒观。
◇原文：我只想安静的做一个美男子。	翻译：北方有璧人，玉容难自弃。厌彼尘俗众，绝世而独立。
